First Name,Middle Name,Last Name,Gender (M/F),DOB (YYYY-MM-DD),Religion,Blood Group,Genotype,Home Town,Admission Number (Leave blank to auto-generate),Class Name,Parent Name,Parent Phone
Arraghibun,,Bello,F,2012-05-14,Islam,O+,AA,Kano,,JSS 1A,Mrs. Hauwa Bello,7058813998
Blessing,,Garba,F,2012-04-01,Islam,O+,SS,Katsina,,JSS 1A,Alhaja Olusegun Umar,9007536455
Ladi,,Tanko,F,2011-09-18,Christianity,B+,AC,Ibadan,,JSS 1A,Mr. Emeka Obi,9140557616
Folake,,Abdullahi,F,2013-05-28,Christianity,O-,AC,Calabar,,JSS 1A,Alhaja Yakubu Eze,9109320819
Titilayo,,Yakubu,F,2013-12-15,Christianity,A-,SS,Bauchi,,JSS 1A,Mrs. Binta Suleiman,9048876634
Amina,,Ibrahim,F,2012-06-07,Christianity,A-,AC,Abeokuta,,JSS 1A,Alhaja Usman Yakubu,9176804571
Kaltum,,Ayodele,F,2011-07-27,Christianity,O+,SS,Owerri,,JSS 1A,Alh. Femi Danjuma,8113627010
Safiya,,Umar,F,2011-04-04,Islam,O-,SS,Benin City,,JSS 1A,Mr. Fatima Olayinka,8005997283
Safiya,,Yakubu,F,2012-11-06,Islam,O-,SS,Calabar,,JSS 1A,Alh. Ali Lawal,9062836016
Musa,,Oyelaran,M,2011-09-16,Christianity,A-,SS,Abeokuta,,JSS 1A,Alh. Rasheed Ogunleye,8117799229
Segun,,Lawal,M,2011-11-23,Islam,O-,AC,Lagos,,JSS 1A,Alhaja Fatima Adeyemi,8020807370
Nnamdi,,Tanko,M,2013-03-13,Christianity,AB+,AC,Abuja,,JSS 1A,Mrs. Adaeze Mohammed,9042524776
Yetunde,,Abubakar,F,2011-09-26,Christianity,O+,AS,Kaduna,,JSS 1A,Alhaja Femi Adeyemi,7017568205
Chinedu,,Umar,M,2013-12-09,Islam,O-,SS,Gombe,,JSS 1A,Mrs. Binta Adeleke,8182141621
Tajudeen,,Ogunleye,M,2013-06-09,Islam,B+,SS,Enugu,,JSS 1A,Mrs. Binta Ekwueme,8141064600
Kabir,,Bello,M,2013-09-19,Christianity,B+,AC,Minna,,JSS 1A,Mr. Binta Okafor,9106593976
Olumide,,Ogunleye,M,2012-06-02,Christianity,O+,SS,Jos,,JSS 1A,Alh. Yakubu Aliyu,8114659085
Jibril,,Ibrahim,M,2013-02-04,Islam,A+,SS,Minna,,JSS 1A,Mr. Adaeze Ekwueme,8106925666
Tajudeen,,Eze,M,2011-09-01,Christianity,B+,AS,Kaduna,,JSS 1A,Mrs. Chukwudi Adeleke,7004876452
Zubairu,,Abubakar,M,2012-06-21,Christianity,O+,AA,Kaduna,,JSS 1A,Mr. Usman Umar,9003826538
Ngozi,,Aliyu,F,2012-11-15,Christianity,A-,SS,Port Harcourt,,JSS 1A,Alh. Funmilayo Mohammed,8062705860
Yusuf,,Okafor,M,2013-12-04,Islam,O-,AS,Gombe,,JSS 1A,Alh. Chukwudi Ogunleye,8190668828
Yusuf,,Yakubu,M,2013-05-10,Islam,A-,AS,Enugu,,JSS 1A,Alhaja Emeka Ekwueme,8148452630
Chiamaka,,Ogunleye,F,2011-03-11,Islam,A+,AA,Katsina,,JSS 1A,Mrs. Usman Danjuma,9105154382
Sani,,Abdullahi,M,2013-02-13,Christianity,O-,SS,Katsina,,JSS 1A,Alhaja Binta Adeyemi,8177188357
Hauwa,,Musa,F,2012-05-25,Islam,A+,SS,Ilorin,,JSS 1A,Mr. Ngozi Fashola,9185576523
Khadija,,Aliyu,F,2012-10-13,Islam,A+,AC,Gombe,,JSS 1A,Alh. Funmilayo Ayodele,8064515474
Jibril,,Obi,M,2011-09-25,Islam,B+,SS,Gombe,,JSS 1A,Mrs. Emeka Okonkwo,9066085651
Ruqayya,,Adeleke,F,2012-11-11,Islam,AB+,AS,Kano,,JSS 1A,Mrs. Amina Aliyu,8184259967
Ngozi,,Bello,F,2013-05-11,Islam,A+,AC,Calabar,,JSS 1A,Mrs. Binta Ibrahim,8195183801
Emeka,,Sani,M,2013-03-23,Christianity,O+,AC,Calabar,,JSS 1A,Mrs. Fatima Balogun,9182104602
Babatunde,,Suleiman,M,2012-06-20,Christianity,B+,AC,Jos,,JSS 1A,Alh. Emeka Adeleke,8107207547
Chinedu,,Okonkwo,M,2011-10-02,Christianity,O+,SS,Owerri,,JSS 1A,Alhaja Sadiya Tanko,9118895755
Halima,,Musa,F,2013-09-28,Christianity,A-,AA,Minna,,JSS 1A,Mrs. Tanko Umar,8007336882
Wale,,Aliyu,M,2013-11-27,Christianity,B+,AC,Bauchi,,JSS 1A,Alhaja Chukwudi Okonkwo,9183298222
Wale,,Adeleke,M,2012-03-05,Christianity,O-,SS,Ibadan,,JSS 1A,Mr. Tanko Aliyu,9022022697
Tunde,,Sani,M,2011-08-22,Christianity,A+,SS,Ibadan,,JSS 1A,Alh. Hauwa Tanko,9107001594
Olamide,,Bello,F,2012-11-14,Islam,A+,AS,Kaduna,,JSS 1A,Mrs. Ali Abubakar,9035286675
